weapon_id,name,capability,range_m,shots_per_min,pk,target_tags,max_effect_count,ammo,metadata_json
ATGM_GENERIC,modern guided ATGM (generic),ANTI_ARMOR,1200,0.35,0.82,"[""ARMOR"", ""STRUCTURE""]",1,3,"{""p_catastrophic_on_armor_hit"":0.62,""p_mobility_kill_on_armor_hit"":0.03,""p_disabled_on_armor_hit"":0.06,""p_firepower_kill_on_armor_hit"":0.16,""acquisition_delay_min_s"":8.0,""acquisition_delay_max_s"":15.0,""ui_range_family"":""GUIDED_AT"",""ui_range_label"":""ATGM"",""targeting_mode"":""LOCK_ON_BEFORE_LAUNCH"",""requires_target_lock"":true,""lockable_target_tags"":[""ARMOR"",""STRUCTURE""],""aim_point_capable"":true,""lock_min_confidence"":0.52,""lock_required_states"":[""CLASSIFIED"",""IDENTIFIED""],""swim_incompatible"":true,""structure_capable"":true,""building_direct_damage_min"":24.0,""building_direct_damage_max"":42.0,""inventory_model"":""CREW_SERVED"",""editor_quantity_label"":""launchers"",""editor_show_crew"":true,""base_hit_probability"":0.82,""range_hit_factor_min"":0.72,""range_hit_falloff"":0.22,""defending_hit_factor"":0.95,""guided_track_factor_floor"":0.86,""guided_error_penalty_max"":0.08,""engagement_cycle_min_s"":30.0,""engagement_cycle_max_s"":50.0}"
AT_TEAM_RIFLE_GENERIC,rifle (AT team),ANTI_PERSONNEL,300,4,0.06,"[""PERSONNEL""]",1,-1,"{""acquisition_delay_min_s"":4.0,""acquisition_delay_max_s"":8.0,""ui_range_family"":""SMALL_ARMS"",""ui_range_label"":""RIFLE"",""inventory_model"":""PERSONNEL_AGGREGATE"",""editor_show_crew"":false,""engagement_cycle_min_s"":9.0,""engagement_cycle_max_s"":15.0,""reload_after_cycles"":3,""reload_delay_min_s"":3.0,""reload_delay_max_s"":6.0}"
COAX_MG_GENERIC,coaxial machine gun,ANTI_PERSONNEL,600,8,0.30,"[""PERSONNEL""]",2,-1,"{""acquisition_delay_min_s"":3.0,""acquisition_delay_max_s"":6.0,""ui_range_family"":""MACHINE_GUN"",""ui_range_label"":""COAX MG"",""inventory_model"":""PLATFORM_MOUNT"",""editor_quantity_label"":""weapon mounts"",""editor_show_crew"":false,""engagement_cycle_min_s"":4.0,""engagement_cycle_max_s"":6.5,""reload_after_cycles"":10,""reload_delay_min_s"":7.0,""reload_delay_max_s"":11.0,""fire_model"":""MACHINE_GUN_BURST"",""lethality_model"":""BURST_CASUALTY""}"
DMR_GENERIC,designated marksman rifle,ANTI_PERSONNEL,500,3,0.11,"[""PERSONNEL""]",1,-1,"{""acquisition_delay_min_s"":5.0,""acquisition_delay_max_s"":10.0,""ui_range_family"":""SMALL_ARMS"",""ui_range_label"":""DMR"",""inventory_model"":""INDIVIDUAL_ASSIGNED"",""editor_quantity_label"":""weapons"",""editor_show_crew"":false,""engagement_cycle_min_s"":12.0,""engagement_cycle_max_s"":20.0}"
GPMG_SECTION_GENERIC,general-purpose machine guns,ANTI_PERSONNEL,600,7.0,0.24,"[""PERSONNEL""]",2,-1,"{""acquisition_delay_min_s"":5.0,""acquisition_delay_max_s"":10.0,""ui_range_family"":""MACHINE_GUN"",""ui_range_label"":""MG"",""fire_model"":""MACHINE_GUN_BURST"",""inventory_model"":""CREW_SERVED"",""editor_quantity_label"":""machine guns"",""editor_show_crew"":true,""engagement_cycle_min_s"":5.0,""engagement_cycle_max_s"":8.0,""reload_after_cycles"":7,""reload_delay_min_s"":8.0,""reload_delay_max_s"":12.0,""lethality_model"":""BURST_CASUALTY""}"
SMALL_ARMS_COMMAND_GENERIC,small arms,ANTI_PERSONNEL,300,4,0.06,"[""PERSONNEL""]",1,-1,"{""acquisition_delay_min_s"":4.0,""acquisition_delay_max_s"":8.0,""ui_range_family"":""SMALL_ARMS"",""ui_range_label"":""SA"",""inventory_model"":""PERSONNEL_AGGREGATE"",""editor_show_crew"":false,""engagement_cycle_min_s"":9.0,""engagement_cycle_max_s"":15.0,""reload_after_cycles"":3,""reload_delay_min_s"":3.0,""reload_delay_max_s"":6.0}"
SMALL_ARMS_GENERIC,small arms,ANTI_PERSONNEL,350,5,0.08,"[""PERSONNEL""]",1,-1,"{""acquisition_delay_min_s"":4.0,""acquisition_delay_max_s"":8.0,""ui_range_family"":""SMALL_ARMS"",""ui_range_label"":""SA"",""inventory_model"":""PERSONNEL_AGGREGATE"",""editor_show_crew"":false,""engagement_cycle_min_s"":8.0,""engagement_cycle_max_s"":14.0,""reload_after_cycles"":3,""reload_delay_min_s"":3.0,""reload_delay_max_s"":6.0}"
TANK_GUN_AP_GENERIC,tank main gun anti-armor,ANTI_ARMOR,900,3,0.2,"[""ARMOR""]",1,-1,"{""p_catastrophic_on_armor_hit"":0.5,""p_mobility_kill_on_armor_hit"":0.01,""p_disabled_on_armor_hit"":0.05,""p_firepower_kill_on_armor_hit"":0.18,""acquisition_delay_min_s"":5.0,""acquisition_delay_max_s"":10.0,""ui_range_family"":""CANNON"",""ui_range_label"":""GUN-AP"",""inventory_model"":""PLATFORM_MOUNT"",""editor_quantity_label"":""weapon mounts"",""editor_show_crew"":false,""engagement_cycle_min_s"":7.0,""engagement_cycle_max_s"":11.0}"
TANK_GUN_HE_GENERIC,tank main gun HE,ANTI_PERSONNEL,800,2,0.22,"[""PERSONNEL""]",2,-1,"{""acquisition_delay_min_s"":5.0,""acquisition_delay_max_s"":10.0,""ui_range_family"":""CANNON"",""ui_range_label"":""GUN-HE"",""inventory_model"":""PLATFORM_MOUNT"",""editor_quantity_label"":""weapon mounts"",""editor_show_crew"":false,""engagement_cycle_min_s"":7.0,""engagement_cycle_max_s"":12.0}"
TOWED_ARTY_GENERIC,abstract towed indirect fire,INDIRECT_FIRE,3000,1.5,0.1,"[""PERSONNEL"", ""ARMOR"", ""ARTILLERY"", ""EQUIPMENT"", ""STRUCTURE""]",2,-1,"{""dispersion_cep_m"":55.0,""salvo_rounds_per_piece"":1,""effect_radius_personnel_m"":55.0,""effect_radius_equipment_m"":34.0,""effect_radius_armor_m"":14.0,""effect_p_personnel"":0.58,""effect_p_equipment"":0.38,""effect_p_armor"":0.12,""max_personnel_loss_per_round"":6,""defending_protection_factor"":0.68,""direct_hit_radius_m"":3.0,""near_hit_radius_armor_m"":12.0,""near_hit_radius_equipment_m"":30.0,""fragment_effect_radius_armor_m"":35.0,""fragment_effect_radius_equipment_m"":65.0,""p_destroy_direct_armor"":0.72,""p_destroy_near_armor"":0.02,""p_mobility_near_armor"":0.01,""p_firepower_near_armor"":0.06,""p_mobility_fragment_armor"":0.001,""p_firepower_fragment_armor"":0.015,""ui_range_family"":""INDIRECT_FIRE"",""ui_range_label"":""ARTY"",""bridge_near_effect_m"":18.0,""bridge_deck_damage_min"":22.0,""bridge_deck_damage_max"":38.0,""bridge_near_damage_min"":3.0,""bridge_near_damage_max"":9.0,""building_direct_damage_min"":28.0,""building_direct_damage_max"":52.0,""building_near_effect_m"":20.0,""building_near_damage_min"":4.0,""building_near_damage_max"":12.0,""inventory_model"":""EQUIPMENT_PROVIDER"",""editor_show_crew"":false}"
